Date,Open,High,Low,Close,Volume,Adj Close
2008-03-03,18.02,18.50,16.77,17.50,30918600,7.989609
2008-02-01,18.969999,19.35,17.75,17.98,26520600,8.208753
2008-01-02,20.139999,21.01,17.66,18.91,49069700,8.633343
2007-12-03,23.23,23.43,19.889999,20.469999,24402500,9.345559
2007-11-01,26.40,26.68,21.77,23.389999,40480400,10.678682
2007-10-01,26.27,26.92,25.629999,26.68,18654000,12.18073
2007-09-04,27.67,28.190001,25.950001,26.200001,22451900,11.961586
2007-08-01,26.51,28.60,26.030001,27.549999,24763700,12.577927
2007-07-02,26.40,28.50,25.629999,26.68,32985800,12.18073
2007-06-01,28.799999,29.15,25.219999,26.24,36002600,11.979848
2007-05-01,31.16,31.90,28.030001,28.809999,30264100,13.153179
2007-04-02,31.540001,32.299999,30.299999,31.02,18457600,14.162152
2007-03-01,30.200001,32.450001,28.860001,31.360001,25932100,14.317379
2007-02-01,35.130001,35.419998,30.24,30.90,21568400,14.107367
2007-01-03,35.599998,36.610001,33.490002,34.939999,17270300,15.951824
2006-12-01,35.25,37.139999,34.900002,35.419998,10911700,16.170967
2006-11-01,37.990002,40.009998,35.16,35.290001,16385300,16.111618
2006-10-02,34.150002,39.50,33.610001,37.75,17255600,17.234728
2006-09-01,31.610001,35.040001,30.530001,34.049999,16388500,15.545496
2006-08-01,33.990002,33.990002,28.719999,31.01,23979200,14.157587
2006-07-03,37.959999,38.330002,32.93,34.23,15988200,15.627675
2006-06-01,35.490002,38.02,34.91,37.759998,12093800,17.239292
2006-05-01,37.630001,39.880001,34.599998,35.650002,15836200,16.275976
2006-04-03,37.98,39.50,36.77,37.27,10918100,17.015585
2006-03-01,36.330002,38.110001,34.73,37.630001,10197200,17.179943
2006-02-01,31.280001,36.869999,31.139999,36.32,13583000,16.581861
2006-01-03,30.57,32.32,29.90,31.700001,8821700,14.472606
2005-12-01,30.34,32.459999,29.940001,30.01,8962400,13.701038
2005-11-01,28.299999,32.00,28.07,30.450001,11613800,13.901919
2005-10-03,50.310001,55.25,26.870001,28.280001,14063400,12.911208
2005-09-01,49.799999,50.16,46.009998,50.099998,13408100,11.436554
2005-08-01,52.549999,52.77,48.00,49.029999,10115800,11.192301
2005-07-01,51.73,54.389999,49.279999,52.549999,14280600,11.995827
2005-06-01,54.919998,56.900002,51.52,51.66,11003900,11.792663
2005-05-02,49.900002,55.720001,49.200001,54.790001,13129900,12.507162
2005-04-01,52.23,52.380001,44.580002,49.52,21218300,11.304155
2005-03-01,51.889999,55.59,50.720001,51.66,12767300,11.792663
2005-02-01,54.16,54.98,49.139999,51.810001,17413500,11.826904
2005-01-03,63.290001,63.34,52.099998,54.00,24239600,12.326825
2004-12-01,56.330002,64.260002,56.290001,62.360001,12045600,14.2352
2004-11-01,52.919998,57.00,52.599998,56.259998,12126500,12.842725
2004-10-01,45.970001,53.25,45.290001,52.880001,14628100,12.071157
2004-09-01,42.990002,46.290001,42.790001,45.459999,10453600,10.37736
2004-08-02,46.869999,47.130001,42.049999,43.240002,15339700,9.870591
2004-07-01,44.650002,48.400002,44.02,46.990002,15209800,10.726621
2004-06-01,40.700001,44.400002,40.619999,43.490002,12154500,9.92766
2004-05-03,38.82,41.200001,37.029999,40.599998,12410800,9.267946
2004-04-01,38.139999,39.91,36.740002,38.919998,11948800,8.884444
2004-03-01,37.889999,38.740002,36.509998,37.869999,12946600,8.644756
2004-02-02,36.82,39.68,36.00,37.400002,15243700,8.537468
2004-01-02,33.450001,36.810001,32.900002,36.610001,14435600,8.357131
2003-12-01,32.080002,33.43,31.42,33.16,9677400,7.569584
2003-11-03,31.360001,33.049999,30.00,32.169998,11638100,7.343592
2003-10-01,29.040001,32.00,28.799999,31.60,10147300,7.213476
2003-09-02,28.09,30.950001,28.059999,28.799999,15761300,6.574306
2003-08-01,27.40,28.530001,26.00,28.389999,10176500,6.480714
2003-07-01,24.950001,27.77,24.780001,27.33,16323200,6.238743
2003-06-02,24.559999,25.459999,23.75,24.549999,14139000,5.60414
2003-05-01,23.42,24.83,22.799999,24.67,19658800,5.631533
2003-04-01,25.809999,26.870001,23.35,23.51,21176600,5.366735
2003-03-03,23.620001,26.52,22.200001,25.76,18783800,5.880352
2003-02-03,22.67,23.52,21.60,23.450001,16707000,5.353038
2003-01-02,20.469999,23.299999,19.620001,22.719999,17927300,5.186398
2002-12-02,22.00,22.09,20.18,20.379999,13888300,4.652235
2002-11-01,24.049999,24.16,20.85,21.74,15501500,4.962688
2002-10-01,20.66,24.10,20.66,23.84,19384400,5.442065
2002-09-03,19.99,21.57,19.60,20.66,14970300,4.716152
2002-08-01,19.52,21.82,18.469999,20.10,15411300,4.588318
2002-07-01,24.42,24.959999,18.440001,19.629999,22457300,4.481029
2002-06-03,24.299999,25.299999,22.440001,24.85,18531000,5.672622
2002-05-01,22.85,24.50,21.93,24.280001,17015300,5.542506
2002-04-01,23.07,25.700001,22.639999,22.82,15821800,5.209225
2002-03-01,23.559999,24.530001,22.35,23.129999,13419100,5.27999
2002-02-01,23.85,23.85,20.82,23.01,12938900,5.252597
2002-01-02,19.110001,23.879999,19.00,23.77,21468900,5.426086
2001-12-03,17.629999,19.969999,17.60,19.049999,14656200,4.34863
2001-11-01,17.15,19.549999,16.68,17.719999,19099100,4.045025
2001-10-01,14.80,17.950001,14.16,17.120001,17433100,3.90806
2001-09-04,16.860001,17.32,13.46,14.94,23641400,3.410422
2001-08-01,18.129999,19.09,16.799999,16.870001,16504900,3.850992
2001-07-02,22.49,22.90,17.90,18.040001,18857900,4.118073
2001-06-01,20.00,23.309999,18.93,23.00,14754900,5.250314
2001-05-01,19.35,21.530001,18.00,19.52,18123100,4.455919
2001-04-02,42.562481,43.562481,18.50,19.35,31217200,4.417112
2001-03-01,47.50,49.062481,38.562481,42.437519,22437200,4.843702
2001-02-01,49.375038,51.312481,46.25,47.624962,18244300,5.435783
2001-01-02,43.921761,50.062481,40.375038,49.937519,20714000,5.699732
2000-12-01,46.25,47.00,41.375038,44.25,17976600,5.050574
2000-11-01,44.312481,50.812481,43.00,45.562481,24305700,5.200377
2000-10-02,40.124962,44.875038,36.75,44.687519,16236000,5.100512
2000-09-01,38.25,41.75,35.875038,40.062481,11352100,4.572622
2000-08-01,37.468719,44.124962,34.562481,36.624962,17703300,4.180273
2000-07-03,38.00,42.75,35.937519,37.50,17437600,4.280148
2000-06-01,34.124962,39.50,32.00,38.187519,30855100,4.358619
2000-05-01,31.00,35.00,28.00,34.00,19160200,3.880667
2000-04-03,40.187519,43.50,30.00,30.23432,33161100,3.450863
2000-03-01,35.124962,45.25,32.624962,44.812481,18989400,5.114774
2000-02-01,31.75,36.187519,30.37504,35.124962,20690200,4.009067
2000-01-03,23.87504,32.00,23.12496,32.00,32556700,3.652393
1999-12-01,26.562481,29.12496,23.75,24.25,16285600,2.767829
1999-11-01,26.87504,31.062481,25.87504,26.562481,20308500,3.031769
1999-10-01,24.75,27.62496,21.37504,27.187519,22780900,3.103109
1999-09-01,22.937519,26.562481,20.437519,24.7812,20352300,2.828459
1999-08-02,23.50,24.25,19.87504,22.87504,22760200,2.610895
1999-07-01,24.2656,28.37504,23.187519,23.25,61231400,2.653692
1999-06-01,36.875038,38.50,33.437519,37.562481,14538900,4.287279
1999-05-03,37.50,41.00,33.562481,36.875038,14010800,4.208816
1999-04-01,28.25,39.00,28.25,36.937519,14490400,4.215948
1999-03-01,53.375038,63.75008,27.87504,28.062481,18150900,3.202975
1999-02-01,52.124962,54.187519,46.375038,52.875038,17899800,3.017506
1999-01-04,55.624962,56.00,46.875038,52.062561,26942200,2.971139
1998-12-01,47.062561,56.24992,47.062561,56.124962,16707100,3.202975
1998-11-02,43.624962,49.24992,41.00,46.124962,23589700,2.632289
1998-10-01,35.50,44.24992,31.50,43.375038,30711200,2.475354
1998-09-01,31.87504,42.24992,28.75008,36.187519,34161000,2.065172
1998-08-03,42.187519,43.24992,30.87504,31.562559,32433700,1.801232
1998-07-01,53.624962,59.937439,41.624962,41.875038,31166100,2.389751
1998-06-01,47.624962,54.75008,46.562561,53.437439,16999700,3.049602
1998-05-01,48.24992,49.875038,44.50,48.00,12358800,2.739295
1998-04-01,45.375038,49.00,42.50,48.124962,17179000,2.746426
1998-03-02,39.562561,46.437439,38.124962,45.312481,14593000,2.585922
1998-02-02,37.00,40.124962,36.00,39.562561,17325400,2.257781
1998-01-02,38.375038,38.624962,33.124962,36.562561,17552800,2.086576
1997-12-01,35.624962,40.50,35.50,38.375038,13587700,2.190011
1997-11-03,33.124962,36.00,31.24992,34.875038,14391400,1.990271
1997-10-01,41.624962,41.875038,32.124962,33.00,23789900,1.883265
1997-09-02,41.124962,44.75008,39.75008,41.812481,14834300,2.386181
1997-08-01,40.75008,43.24992,37.00,41.00,18113400,2.339814
1997-07-01,39.00,41.624962,34.124962,40.937439,22701900,2.336244
1997-06-02,31.62496,39.50,29.50,38.937439,26887800,2.222106
1997-05-01,29.87504,34.00,27.87504,31.50,21982500,1.797662
1997-04-01,29.62496,31.24992,26.12496,29.87504,20193200,1.704928
1997-03-03,33.624962,33.875038,29.37504,29.62496,18513000,1.690656
1997-02-03,34.24992,37.24992,32.75008,33.624962,13475900,1.918931
1997-01-02,28.62496,35.875038,27.37504,34.24992,18875000,1.954596
1996-12-02,34.875038,36.75008,28.50,28.62496,16670400,1.633587
1996-11-01,32.624962,36.624962,31.75008,34.624962,16025200,1.975999
1996-10-01,33.00,40.24992,32.50,32.50,24564600,1.854731
1996-09-03,32.24992,35.875038,31.75008,33.00,17634800,1.883265
1996-08-01,26.00,34.124962,26.00,32.75008,15137100,1.869002
1996-07-01,28.12496,29.87504,23.00,26.00,16716000,1.483785
1996-06-03,27.12496,28.50,25.24992,28.24992,12955700,1.612184
1996-05-01,27.37504,29.62496,25.00,27.12496,13395400,1.547984
1996-04-01,24.62496,29.37504,24.12496,27.12496,26790700,1.547984
1996-03-01,18.12496,23.62496,17.87504,23.312481,24086300,1.330411
1996-02-01,16.87504,18.00,16.00,17.62496,20810400,1.005832
1996-01-02,21.00,21.00,14.50,16.75008,32352700,0.955904
1995-12-01,42.125118,42.125118,19.12496,21.00,15688000,1.198441
1995-11-01,39.375038,45.125118,38.874882,42.24992,23393900,1.205573
1995-10-02,38.375038,39.75008,33.874882,39.24992,24924000,1.11997
1995-09-01,40.00,44.24992,36.00,37.874882,41067200,1.080734
1995-08-01,37.375038,40.624962,36.874882,40.00,13760900,1.141373
1995-07-03,35.75008,42.24992,34.874882,37.375038,29968000,1.066471
1995-06-01,29.062401,37.24992,27.75008,35.624962,30793100,1.016534
1995-05-01,23.62496,31.50016,23.50016,29.062401,27240800,0.829276
1995-04-03,24.00,26.12512,23.24992,23.50016,20649200,0.670561
1995-03-01,24.00,25.687361,22.24992,24.00,20660000,0.684824
1995-02-01,23.87488,26.49984,22.49984,23.87488,13734000,0.681253
1995-01-03,27.24992,27.37504,23.50016,24.00,13162200,0.684824
1994-12-01,26.75008,28.00,24.37504,27.50016,11019400,0.784698
1994-11-01,26.75008,29.24992,25.75008,26.812481,16292100,0.765076
1994-10-03,23.00,28.00,21.50016,27.12512,12819900,0.773997
1994-09-01,28.00,29.75008,22.24992,23.062401,22107500,0.65807
1994-08-01,29.24992,29.75008,26.49984,28.24992,10264000,0.806092
1994-07-01,25.24992,30.75008,23.50016,29.00,17773400,0.827495
1994-06-01,28.49984,32.49984,24.75008,25.24992,15226400,0.720489
1994-05-02,29.50016,30.24992,24.49984,28.49984,12835800,0.813223
1994-04-04,23.50016,30.75008,22.75008,29.75008,21043800,0.848898
1994-03-01,22.75008,25.50016,21.00,24.37504,14432400,0.695525
1994-02-01,24.00,25.00,21.50016,23.24992,8928500,0.663421
1994-01-03,22.00,24.49984,19.00,24.00,18529500,0.684824
1993-12-01,22.75008,24.75008,20.75008,22.24992,8048100,0.634886
1993-11-01,26.24992,27.24992,20.49984,22.24992,9679000,0.634886
1993-10-01,27.50016,28.00,25.24992,26.75008,9050600,0.763295
1993-09-01,48.25024,54.00,26.75008,27.37504,15333100,0.781128
1993-08-02,48.25024,50.00,43.74976,48.49984,13750400,0.691955
1993-07-01,48.75008,54.00,47.50016,47.50016,13927600,0.677692
1993-06-01,48.00,49.74976,44.49984,48.99968,9554000,0.699086
1993-05-03,39.50016,48.75008,39.00032,48.00,16200300,0.684824
1993-04-01,38.00,40.25024,34.25024,38.75008,8700300,0.552854
1993-03-31,37.24992,38.25024,36.99968,38.00,9049600,0.542152
